,dhi,dirhi,pressure,temp_air,v_wind,z0
2010-01-04 18:00:00+01:00,4.7455E-007,0,100431,259.34,0.403484,0.15
2010-01-04 19:00:00+01:00,4.5447E-007,0,100399,259.27,0.257645,0.15
2010-01-04 20:00:00+01:00,0,0,100364,259.22,0.230887,0.15
2010-01-04 21:00:00+01:00,0,0,100326,259.2,0.289493,0.15
2010-01-04 22:00:00+01:00,0,0,100291,259.2,0.674469,0.15
2010-01-04 23:00:00+01:00,0,0,100256,259.23,1.13613,0.15
2010-01-05 00:00:00+01:00,0,0,100220,259.34,1.48263,0.15
2010-01-05 01:00:00+01:00,0,0,100181,259.51,1.54889,0.15
2010-01-05 02:00:00+01:00,0,0,100140,260.18,1.36231,0.15
2010-01-05 03:00:00+01:00,0,0,100091,259.94,1.30019,0.15
2010-01-05 04:00:00+01:00,0,0,100042,259.72,1.22271,0.15
2010-01-05 05:00:00+01:00,1.9737E-008,0,99998.2,259.57,1.06734,0.15
2010-01-05 06:00:00+01:00,4.73687E-007,0,99948.1,259.44,0.971272,0.15
2010-01-05 07:00:00+01:00,0.220604,0.000325152,99886.7,259.2,1.09976,0.15
2010-01-05 08:00:00+01:00,7.20507,1.08964,99818.8,258.91,1.37298,0.15
2010-01-05 09:00:00+01:00,52.3945,28.1345,99756.1,259.34,1.56233,0.15
2010-01-05 10:00:00+01:00,81.7178,79.5081,99696.6,259.88,1.60909,0.15
2010-01-05 11:00:00+01:00,97.2652,117531,99642.5,260.47,1.47126,0.15
2010-01-05 12:00:00+01:00,100409,126222,99582.7,260.97,1.22238,0.15
2010-01-05 13:00:00+01:00,91.4228,102699,99521.3,261.13,1.05889,0.15
2010-01-05 14:00:00+01:00,69.5141,55.4444,99471.2,260.83,1.27001,0.15
2010-01-05 15:00:00+01:00,33.4851,9.14838,99432.7,260.21,1.55222,0.15
2010-01-05 16:00:00+01:00,4.75447E-007,0,99403.5,259.62,1.70032,0.15
2010-01-05 17:00:00+01:00,0.000000475,0,99363.6,259.21,1.75863,0.15
2010-01-05 18:00:00+01:00,4.74351E-007,0,99323.1,258.96,1.6418,0.15
2010-01-05 19:00:00+01:00,4.53602E-007,0,99287.1,258.82,1.43202,0.15
2010-01-05 20:00:00+01:00,0,0,99238.3,258.68,1.39284,0.15
2010-01-05 21:00:00+01:00,0,0,99190.8,258.59,1.30528,0.15
2010-01-05 22:00:00+01:00,0,0,99160.1,258.57,1.14158,0.15
2010-01-05 23:00:00+01:00,0,0,99141.2,258.65,1.10291,0.15
2010-01-06 00:00:00+01:00,0,0,99130.9,258.84,1.17376,0.15
2010-01-06 01:00:00+01:00,0,0,99127.4,259.23,1.19974,0.15
2010-01-06 02:00:00+01:00,0,0,99128.5,260.38,1.28662,0.15
2010-01-06 03:00:00+01:00,0,0,99105.7,260.26,1.54882,0.15
2010-01-06 04:00:00+01:00,0,0,99078.1,260.45,1.52977,0.15
2010-01-06 05:00:00+01:00,1.80833E-008,0,99053.5,260.69,1.36668,0.15
2010-01-06 06:00:00+01:00,4.33788E-007,0,99026.5,260.94,1.29679,0.15
2010-01-06 07:00:00+01:00,0.213184,1.21182E-013,99013.7,261.14,1.3055,0.15
2010-01-06 08:00:00+01:00,7.37859,0.00463027,99011.7,261.43,1.37923,0.15
2010-01-06 09:00:00+01:00,61.7251,0.212613,99009.9,262.28,1.54701,0.15
2010-01-06 10:00:00+01:00,116454,3.31052,99006.6,263.17,1.76222,0.15
2010-01-06 11:00:00+01:00,150452,20801,99010.4,264.24,1.76356,0.15
2010-01-06 12:00:00+01:00,159208,18.7228,99021,264.87,1.84786,0.15
2010-01-06 13:00:00+01:00,139715,10.2551,99024.8,265.43,1.78025,0.15
2010-01-06 14:00:00+01:00,93.3983,1.8888,99031.5,265.59,1.7179,0.15
2010-01-06 15:00:00+01:00,36.0277,0.00992476,99059.4,265.32,1.51743,0.15
2010-01-06 16:00:00+01:00,4.1217E-007,0,99097.8,264.86,1.53535,0.15
2010-01-06 17:00:00+01:00,3.90329E-007,0,99133.4,264.74,1.62984,0.15
2010-01-06 18:00:00+01:00,3.91603E-007,0,99161,264.57,1.761,0.15
2010-01-06 19:00:00+01:00,3.89214E-007,0,99187.2,264.34,1.74418,0.15
2010-01-06 20:00:00+01:00,0,0,99211.3,264.1,1.68012,0.15
2010-01-06 21:00:00+01:00,0,0,99242.4,263.9,1.72892,0.15
2010-01-06 22:00:00+01:00,0,0,99275.1,263.84,1.85373,0.15
2010-01-06 23:00:00+01:00,0,0,99323.4,263.39,1.96994,0.15
2010-01-07 00:00:00+01:00,0,0,99375.6,263.18,2.00784,0.15
2010-01-07 01:00:00+01:00,0,0,99430.9,262.97,1.96784,0.15
2010-01-07 02:00:00+01:00,0,0,99490.4,262.83,1.99643,0.15
2010-01-07 03:00:00+01:00,0,0,99552.1,263.02,2.05974,0.15
2010-01-07 04:00:00+01:00,0,0,99597.5,263.04,2.07034,0.15
2010-01-07 05:00:00+01:00,1.85656E-008,0,99622.7,262.99,2.15834,0.15
2010-01-07 06:00:00+01:00,4.45614E-007,0,99639.7,262.63,2.2539,0.15
2010-01-07 07:00:00+01:00,0.241504,1.30285E-007,99656.9,262.4,2.41636,0.15
2010-01-07 08:00:00+01:00,8.10616,0.451745,99683.7,262.09,2.61055,0.15
2010-01-07 09:00:00+01:00,62.6894,12.7981,99716.4,262.12,2.748,0.15
2010-01-07 10:00:00+01:00,96892,59.2774,99754.7,262.07,2.89715,0.15
2010-01-07 11:00:00+01:00,116034,93.5476,99811.4,262.25,3.11852,0.15
2010-01-07 12:00:00+01:00,124602,94.6039,99872,262.57,3.38681,0.15
2010-01-07 13:00:00+01:00,120423,62.4264,99938.9,262.9,3.44846,0.15
2010-01-07 14:00:00+01:00,89.5675,27.6341,100028,262.74,3.35454,0.15
2010-01-07 15:00:00+01:00,38184,4.87042,100104,262.33,3.2911,0.15
2010-01-07 16:00:00+01:00,4.39768E-007,0,100162,262.36,3.24902,0.15
2010-01-07 17:00:00+01:00,4.40707E-007,0,100217,262.56,3.33863,0.15
2010-01-07 18:00:00+01:00,4.37931E-007,0,100274,262.87,3.52378,0.15
2010-01-07 19:00:00+01:00,4.14453E-007,0,100330,263.15,3.60297,0.15
2010-01-07 20:00:00+01:00,0,0,100380,263.8,3.53191,0.15
2010-01-07 21:00:00+01:00,0,0,100434,264.23,3.25355,0.15
2010-01-07 22:00:00+01:00,0,0,100497,264.56,2.85047,0.15
2010-01-07 23:00:00+01:00,0,0,100557,264.95,2.27388,0.15
2010-01-08 00:00:00+01:00,0,0,100617,265.27,1.75136,0.15
2010-01-08 01:00:00+01:00,0,0,100670,265.38,1.20631,0.15
2010-01-08 02:00:00+01:00,0,0,100745,265.41,0.845946,0.15
2010-01-08 03:00:00+01:00,0,0,100773,265.34,1.70434,0.15
2010-01-08 04:00:00+01:00,0,0,100819,265.29,1.9802,0.15
2010-01-08 05:00:00+01:00,1.70638E-008,0,100846,265.19,2.40716,0.15
2010-01-08 06:00:00+01:00,4.0918E-007,0,100854,265.17,2.79641,0.15
2010-01-08 07:00:00+01:00,0.24799,3.40757E-016,100873,265.18,3.04056,0.15
2010-01-08 08:00:00+01:00,8.46523,0.022778,100862,265.15,3.45218,0.15
2010-01-08 09:00:00+01:00,68.6061,0.856013,100857,265.44,4.14499,0.15
2010-01-08 10:00:00+01:00,123682,8.35303,100856,265.83,4.5154,0.15
2010-01-08 11:00:00+01:00,157694,16.8078,100849,266.24,5.0034,0.15
2010-01-08 12:00:00+01:00,165331,8.98065,100829,266.58,5.76208,0.15
2010-01-08 13:00:00+01:00,143233,5.89964,100802,266.68,6.30171,0.15
2010-01-08 14:00:00+01:00,96.7439,1.07999,100794,266.6,6.55537,0.15
2010-01-08 15:00:00+01:00,38.9151,0.00558325,100769,266.32,6.33082,0.15
2010-01-08 16:00:00+01:00,3.8821E-007,0,100727,265.93,6.13089,0.15
2010-01-08 17:00:00+01:00,3.86205E-007,0,100682,265.63,6.42829,0.15
2010-01-08 18:00:00+01:00,3.72514E-007,0,100639,265.38,6.443,0.15
2010-01-08 19:00:00+01:00,3.52774E-007,0,100593,265.15,6.53751,0.15
2010-01-08 20:00:00+01:00,0,0,100560,264.97,6.58345,0.15
2010-01-08 21:00:00+01:00,0,0,100524,264.87,6.86387,0.15
2010-01-08 22:00:00+01:00,0,0,100457,264.82,7.25291,0.15
2010-01-08 23:00:00+01:00,0,0,100403,264.89,7.54074,0.15
2010-01-09 00:00:00+01:00,0,0,100360,264.98,7.94066,0.15
2010-01-09 01:00:00+01:00,0,0,100322,265.12,8.19224,0.15
2010-01-09 02:00:00+01:00,0,0,100290,265.37,8.3721,0.15
2010-01-09 03:00:00+01:00,0,0,100229,265.7,8.58747,0.15
2010-01-09 04:00:00+01:00,0,0,100175,266.23,8.94711,0.15
2010-01-09 05:00:00+01:00,1.03001E-008,0,100140,266.76,9.47753,0.15
2010-01-09 06:00:00+01:00,2.4647E-007,0,100120,267.13,9.58088,0.15
2010-01-09 07:00:00+01:00,0.179912,1.25994E-012,100077,267.34,9.27084,0.15
2010-01-09 08:00:00+01:00,5.98083,1.51806E-008,100007,267.45,9.02852,0.15
2010-01-09 09:00:00+01:00,45.6012,3.83852E-006,99974.4,267.61,8.8981,0.15
2010-01-09 10:00:00+01:00,77.6682,8.30231E-005,99939,267.67,8.71281,0.15
2010-01-09 11:00:00+01:00,89833,0.000121869,99885.2,267.65,8.54576,0.15
2010-01-09 12:00:00+01:00,104862,0.0013498,99825.8,267.69,8.41137,0.15
2010-01-09 13:00:00+01:00,82.3613,0.000064622,99794.1,267.62,8.076,0.15
2010-01-09 14:00:00+01:00,50.4177,1.94865E-008,99767.9,267.4,7.80628,0.15
2010-01-09 15:00:00+01:00,20.6538,6.09637E-017,99712,267.1,7.74941,0.15
2010-01-09 16:00:00+01:00,1.93258E-007,0,99680.1,266.82,7.66995,0.15
2010-01-09 17:00:00+01:00,0.000000173,0,99664.9,266.69,7.49605,0.15
2010-01-09 18:00:00+01:00,1.80247E-007,0,99665.3,266.66,7.10213,0.15
2010-01-09 19:00:00+01:00,1.24533E-007,0,99653.3,266.62,6.82776,0.15
2010-01-09 20:00:00+01:00,0,0,99622.2,266.58,6.58403,0.15
2010-01-09 21:00:00+01:00,0,0,99600.6,266.61,6.30489,0.15
2010-01-09 22:00:00+01:00,0,0,99594.9,266.69,5.96267,0.15
2010-01-09 23:00:00+01:00,0,0,99605.2,266.77,5.60579,0.15
2010-01-10 00:00:00+01:00,0,0,99621.9,266.83,5.327,0.15
2010-01-10 01:00:00+01:00,0,0,99644.8,266.87,5.17828,0.15
2010-01-10 02:00:00+01:00,0,0,99668.3,266.89,5.03502,0.15
2010-01-10 03:00:00+01:00,0,0,99685.7,266.91,4.80961,0.15
2010-01-10 04:00:00+01:00,0,0,99695.5,266.92,4.65143,0.15
2010-01-10 05:00:00+01:00,6.80837E-009,0,99706.8,266.94,4.53305,0.15
2010-01-10 06:00:00+01:00,1.62626E-007,0,99729.9,266.96,4.2398,0.15
2010-01-10 07:00:00+01:00,0.11508,1.03253E-015,99758.5,266.98,3.94868,0.15
2010-01-10 08:00:00+01:00,4.10196,4.29384E-009,99796.5,267.02,3.70013,0.15
2010-01-10 09:00:00+01:00,36.7394,6.71974E-006,99834.5,267.24,3.59344,0.15
2010-01-10 10:00:00+01:00,79828,0.000490703,99852.9,267.56,3.60151,0.15
2010-01-10 11:00:00+01:00,109282,0.00778512,99881.4,267.86,3.48605,0.15
2010-01-10 12:00:00+01:00,88.9762,3.35888E-005,99929.9,267.98,3.214,0.15
2010-01-10 13:00:00+01:00,52.6709,5.34523E-007,99981.7,267.97,2.62054,0.15
2010-01-10 14:00:00+01:00,35.0641,2.14784E-007,100030,267.95,2.14394,0.15
2010-01-10 15:00:00+01:00,16.4268,1.48157E-008,100077,267.92,1.85801,0.15
2010-01-10 16:00:00+01:00,1.90261E-007,0,100111,267.88,1.65442,0.15
2010-01-10 17:00:00+01:00,2.4029E-007,0,100134,267.89,1.5025,0.15
2010-01-10 18:00:00+01:00,3.11144E-007,0,100154,267.91,1.41785,0.15
2010-01-10 19:00:00+01:00,2.9563E-007,0,100171,267.94,1.35012,0.15
2010-01-10 20:00:00+01:00,0,0,100181,267.96,1.28467,0.15
2010-01-10 21:00:00+01:00,0,0,100182,267.97,1.38391,0.15
2010-01-10 22:00:00+01:00,0,0,100189,267.99,1.51474,0.15
2010-01-10 23:00:00+01:00,0,0,100207,268.03,1.57934,0.15
2010-01-11 00:00:00+01:00,0,0,100233,268.08,1.55952,0.15
2010-01-11 01:00:00+01:00,0,0,100252,268.1,1.58649,0.15
2010-01-11 02:00:00+01:00,0,0,100253,268.11,1.79226,0.15
2010-01-11 03:00:00+01:00,0,0,100253,268.14,1.8267,0.15
2010-01-11 04:00:00+01:00,0,0,100260,268.17,1.68611,0.15
2010-01-11 05:00:00+01:00,1.21176E-008,0,100264,268.2,1.68469,0.15
2010-01-11 06:00:00+01:00,2.89335E-007,0,100258,268.23,1.75722,0.15
2010-01-11 07:00:00+01:00,0.189466,2.44699E-012,100252,268.27,1.85244,0.15
2010-01-11 08:00:00+01:00,6.7187,8.27791E-005,100259,268.33,1.80051,0.15
2010-01-11 09:00:00+01:00,58.8417,0.0144329,100257,268.69,1.82576,0.15
2010-01-11 10:00:00+01:00,110422,0.354898,100248,269.12,2.01855,0.15
2010-01-11 11:00:00+01:00,145218,1.66124,100238,269.48,2.13799,0.15
2010-01-11 12:00:00+01:00,155218,2.9767,100236,269.79,2.00769,0.15
2010-01-11 13:00:00+01:00,135.13,1.58499,100258,269.97,1.80917,0.15
2010-01-11 14:00:00+01:00,90.7281,0.141021,100295,270.03,1.42653,0.15
2010-01-11 15:00:00+01:00,38.2601,0.000395092,100316,269.89,1.34362,0.15
2010-01-11 16:00:00+01:00,3.66458E-007,0,100345,269.57,1.46702,0.15
2010-01-11 17:00:00+01:00,3.57497E-007,0,100378,269.37,1.63866,0.15
2010-01-11 18:00:00+01:00,3.64222E-007,0,100403,269.19,1.86246,0.15
2010-01-11 19:00:00+01:00,3.64934E-007,0,100419,268.67,1.90547,0.15
2010-01-11 20:00:00+01:00,0,0,100436,268.2,1.82308,0.15
2010-01-11 21:00:00+01:00,0,0,100442,267.86,1.72118,0.15
2010-01-11 22:00:00+01:00,0,0,100474,267.6,1.74138,0.15
2010-01-11 23:00:00+01:00,0,0,100508,267.36,1.8003,0.15
2010-01-12 00:00:00+01:00,0,0,100541,267.06,1.84148,0.15
2010-01-12 01:00:00+01:00,0,0,100583,266.66,1.92741,0.15
2010-01-12 02:00:00+01:00,0,0,100622,266.41,1.93418,0.15
2010-01-12 03:00:00+01:00,0,0,100630,266.18,1.87651,0.15
2010-01-12 04:00:00+01:00,0,0,100626,265.89,1.82044,0.15
2010-01-12 05:00:00+01:00,1.85957E-008,0,100620,265.59,1.69131,0.15
2010-01-12 06:00:00+01:00,4.46317E-007,0,100627,265.28,1.46427,0.15
2010-01-12 07:00:00+01:00,0.342738,0.00254187,100640,264.95,1.49276,0.15
2010-01-12 08:00:00+01:00,10.3468,0.887074,100618,264.73,1.61151,0.15
2010-01-12 09:00:00+01:00,60.7088,21.6439,100577,265.03,1.57282,0.15
2010-01-12 10:00:00+01:00,97.5119,63.9591,100534,265.55,1.46438,0.15
2010-01-12 11:00:00+01:00,110271,108.49,100501,266.02,1.36613,0.15
2010-01-12 12:00:00+01:00,107679,127.44,100474,266.26,1.62996,0.15
2010-01-12 13:00:00+01:00,97.2971,108048,100440,266.23,1.88521,0.15
2010-01-12 14:00:00+01:00,74877,63.0368,100410,265.92,1.94913,0.15
2010-01-12 15:00:00+01:00,39.4945,14.3524,100397,265.38,2.02281,0.15
2010-01-12 16:00:00+01:00,4.5085E-007,0,100383,264.76,2.13853,0.15
2010-01-12 17:00:00+01:00,0.00000045,0,100355,264.35,2.23099,0.15
2010-01-12 18:00:00+01:00,4.48365E-007,0,100317,264.09,2.34126,0.15
2010-01-12 19:00:00+01:00,4.28094E-007,0,100275,263.92,2.48999,0.15
2010-01-12 20:00:00+01:00,0,0,100233,263.75,2.58668,0.15
2010-01-12 21:00:00+01:00,0,0,100178,263.67,2.82234,0.15
2010-01-12 22:00:00+01:00,0,0,100115,263.68,3.13555,0.15
2010-01-12 23:00:00+01:00,0,0,100070,263.7,3.19344,0.15
2010-01-13 00:00:00+01:00,0,0,100039,263.86,3.35703,0.15
2010-01-13 01:00:00+01:00,0,0,100013,263.96,3.30739,0.15
2010-01-13 02:00:00+01:00,0,0,99993.8,263.96,3.10984,0.15
2010-01-13 03:00:00+01:00,0,0,99980.8,263.91,2.9885,0.15
2010-01-13 04:00:00+01:00,0,0,99957.5,263.88,3.14098,0.15
2010-01-13 05:00:00+01:00,1.83784E-008,0,99919.9,263.94,3.51851,0.15
2010-01-13 06:00:00+01:00,4.41054E-007,0,99874.7,263.9,3.52321,0.15
2010-01-13 07:00:00+01:00,0.363378,0.00464654,99845.7,263.86,3.62597,0.15
2010-01-13 08:00:00+01:00,10558,1.35884,99820.4,263.92,3.75982,0.15
2010-01-13 09:00:00+01:00,54.0303,32.3053,99790,264.2,3.68256,0.15
2010-01-13 10:00:00+01:00,82794,85.9481,99774.5,264.85,3.63385,0.15
2010-01-13 11:00:00+01:00,98.4338,125761,99785.2,265.63,3.70876,0.15
2010-01-13 12:00:00+01:00,102186,136211,99804.1,266.32,3.88128,0.15
2010-01-13 13:00:00+01:00,94281,114.08,99811.2,266.71,3.99185,0.15
2010-01-13 14:00:00+01:00,73.9954,66.6919,99819.3,266.76,4.21296,0.15
2010-01-13 15:00:00+01:00,40.0638,15.8228,99822.4,266.46,4.29547,0.15
2010-01-13 16:00:00+01:00,4.48084E-007,0,99845.3,265.98,4.29304,0.15
2010-01-13 17:00:00+01:00,4.48473E-007,0,99852.5,265.57,4.21062,0.15
2010-01-13 18:00:00+01:00,0.000000449,0,99857.5,265.17,4.17036,0.15
2010-01-13 19:00:00+01:00,0.000000431,0,99870.1,264.77,3.92328,0.15
2010-01-13 20:00:00+01:00,0,0,99870.1,264.39,3.85854,0.15
2010-01-13 21:00:00+01:00,0,0,99855.2,264,3.72801,0.15
2010-01-13 22:00:00+01:00,0,0,99840.3,263.66,3.52693,0.15
2010-01-13 23:00:00+01:00,0,0,99840.6,263.27,3.19396,0.15
2010-01-14 00:00:00+01:00,0,0,99845.1,262.96,3.0288,0.15
2010-01-14 01:00:00+01:00,0,0,99838.9,262.66,2.84059,0.15
2010-01-14 02:00:00+01:00,0,0,99834.3,262.41,2.74109,0.15
2010-01-14 03:00:00+01:00,0,0,99859.5,262.2,2.82659,0.15
2010-01-14 04:00:00+01:00,0,0,99872.1,262.04,2.71758,0.15
2010-01-14 05:00:00+01:00,1.83136E-008,0,99875.7,261.93,2.57865,0.15
2010-01-14 06:00:00+01:00,4.3946E-007,0,99887.1,261.84,2.5949,0.15
2010-01-14 07:00:00+01:00,0.392464,0.00668808,99906.6,261.75,2.57361,0.15
2010-01-14 08:00:00+01:00,11.2655,1.49738,99918.7,261.73,2.38848,0.15
