turbine_type,id,turbine_id,manufacturer,name,nominal_power,rotor_diameter,rotor_area,hub_height,max_speed_drive,wind_class_iec,wind_zone_dibt,power_density,power_density_2,calculated,has_power_curve,has_cp_curve,has_ct_curve,source
E-126/4200,1,2,Enercon,E-126/4200 EP4,4200000,127,12666,99; 135; 159,11.6,IEC/EN IA; IEC/EN IIA,WZ4 GK I; WZ4 GK II; WZ3 GK I; WZ3 GK II,331,3,True,True,True,False,https://www.enercon.de/fileadmin/Redakteur/Medien-Portal/broschueren/pdf/ENERCON_Produkt_de_042017.pdf; https://www.wind-turbine-models.com/turbines/
E-126/7500,138,150,Enercon,E-126/7500,7500000,127,12666,125,,,,1.69,,,True,False,False,https://www.thewindpower.net/turbine_en_225_enercon_e126-7500.php
E-126/7580,139,151,Enercon,E-126/7580,7580000,127,12668,127,,,Ia (DIBt WZ III),,,,True,False,False,https://www.thewindpower.net/turbine_en_600_enercon_e126-7580.php
E-141/4200,0,1,Enercon,E-141/4200 EP 4,4200000,141,15613,99; 129; 135; 159,11,IEC/EN IIA,WZ3 GK I; WZ3 GK I,269,3.7,True,True,True,False,https://www.enercon.de/fileadmin/Redakteur/Medien-Portal/broschueren/pdf/ENERCON_Produkt_de_042017.pdf; https://www.wind-turbine-models.com/turbines/
E-53/800,13,14,Enercon,E-53/800,800000,53,2198,50; 60; 73,29.5,IEC SA,WZ II exp.; WZ 3 GKI; WZ 4 GK II,364,2.7,True,True,True,False,https://www.enercon.de/fileadmin/Redakteur/Medien-Portal/broschueren/pdf/ENERCON_Produkt_de_042017.pdf; https://www.wind-turbine-models.com/turbines/
E-70/2000,12,13,Enercon,E-70/2000,2000000,71,3959,57; 64; 75; 85; 98; 114,21.5,,,505.2,2,,True,False,False,https://www.thewindpower.net/turbine_en_174_enercon_e70-2000.php
E-70/2300,10,11,Enercon,E-70/2300 E4,2300000,71,3959,57; 64; 75; 85; 98; 114,21,IEC/EN IA; IEC/EN IIA,WZ III; WZ 4 GK I; WZ 4 GK II,581,1.7,True,True,True,False,https://www.enercon.de/fileadmin/Redakteur/Medien-Portal/broschueren/pdf/ENERCON_Produkt_de_042017.pdf; https://www.wind-turbine-models.com/turbines/
E-82/2000,11,12,Enercon,E-82/2000 E2,2000000,82,5280,78; 84; 85; 98; 108; 138,18,IEC/EN IIA,WZ III; WZ 4; WZ 4 GK I,378.7,2.6,True,True,True,False,https://www.enercon.de/fileadmin/Redakteur/Medien-Portal/broschueren/pdf/ENERCON_Produkt_de_042017.pdf; https://www.wind-turbine-models.com/turbines/
E-82/2300,9,10,Enercon,E-82/2300 E2,2300000,82,5280,78; 84; 85; 98; 108; 138,18,IEC/EN IIA,WZ III; WZ 4; WZ 4 GK I,435.5,2.3,True,True,True,False,https://www.enercon.de/fileadmin/Redakteur/Medien-Portal/broschueren/pdf/ENERCON_Produkt_de_042017.pdf; https://www.wind-turbine-models.com/turbines/
E-82/2350,8,9,Enercon,E-82/2350,2350000,82,5280,59; 69; 78; 84,18,IEC/EN IA; IEC/EN IIA,WZ 4 GK I,445,2.2,True,True,True,False,https://www.enercon.de/fileadmin/Redakteur/Medien-Portal/broschueren/pdf/ENERCON_Produkt_de_042017.pdf; https://www.wind-turbine-models.com/turbines/
E-82/3000,6,7,Enercon,E-82/3000,3000000,82,5280,69; 78; 84,18,IEC/EN IA; IEC/EN IIA,,568.1,1.8,True,True,True,False,https://www.enercon.de/fileadmin/Redakteur/Medien-Portal/broschueren/pdf/ENERCON_Produkt_de_042017.pdf; https://www.wind-turbine-models.com/turbines/
E-92/2350,7,8,Enercon,E-92/2350,2350000,92,6647,69; 78; 84; 85; 98; 104; 108; 138,16,IEC/EN IIA,WZ III; WZ 4 GK I; WZ 4 GK II,353.5,2.8,True,True,True,False,https://www.enercon.de/fileadmin/Redakteur/Medien-Portal/broschueren/pdf/ENERCON_Produkt_de_042017.pdf; https://www.wind-turbine-models.com/turbines/
E48/800,132,144,Enercon,E-48 800,800000,48,1809,50;55; 60;65;76,,,,,,,True,True,False,http://www.windenergie-im-binnenland.de/powercurve.php
ENO100/2200,128,139,Eno,ENO 100,2200000,100,7853,99,,,,,,True,True,True,True,https://www.wind-turbine-models.com/turbines/651-eno-energy-eno-100
ENO114/3500,127,138,Eno,ENO 114 3.5,3500000,114,10206,"92; 127,5; 142",,,,,,True,True,True,True,https://www.wind-turbine-models.com/turbines/283-eno-energy-eno-114-3.5
ENO114/4000,126,137,Eno,ENO 114 4.0,4000000,114,10206,,,,,,,,False,False,False,https://www.wind-turbine-models.com/turbines/1473-eno-energy-eno-114-4.0
ENO114/4800,125,136,Eno,ENO 114 4.8,4800000,114,10206,,,,,,,,False,False,False,https://www.wind-turbine-models.com/turbines/1742-eno-energy-eno-114-4.8
ENO126/3500,124,135,Eno,ENO 126 3.5,3500000,126,12467,117; 137; 165,,,,,,True,True,True,True,https://www.wind-turbine-models.com/turbines/653-eno-energy-eno-126-3.5
ENO126/4000,123,134,Eno,ENO 126 4.0,4000000,126,12467,,,,,,,,False,False,False,https://www.wind-turbine-models.com/turbines/1484-eno-energy-eno-126-4.0
ENO126/4800,122,133,Eno,ENO 126 4.8,4800000,126,12467,,,,,,,,False,False,False,https://www.wind-turbine-models.com/turbines/1741-eno-energy-eno-126-4.8
ENO82/2050,130,141,Eno,ENO 82,2050000,82,5280,,,,,,,True,False,False,False,http://www.eno-energy.com/produkte-leistungen/windenergieanlagen/eno-82-205-mw/#c86; https://www.wind-turbine-models.com/turbines/108-eno-energy-eno-82
ENO92/2200,129,140,Eno,ENO 92,2200000,92,6647,,,,,,,,False,False,False,https://www.wind-turbine-models.com/turbines/652-eno-energy-eno-92
GE100/2500,121,130,GE Wind,GE 2.5-100,2500000,100,7853,75/85,,,,,,True,True,False,False,https://www.wind-turbine-models.com/turbines/641-general-electric-ge-2.5-100
