turbine_type,calculated,has_cp_curve,has_ct_curve,has_power_curve,hub_height,id,manufacturer,max_speed_drive,name,nominal_power,power_density,power_density_2,rotor_area,rotor_diameter,source,turbine_id,turbine_type_v2,wind_class_iec,wind_zone_dibt
AD180/8000,,False,False,False,,79,Adwen/Areva,8,AD 8-180,8000000,314,3,25444,180,https://www.wind-turbine-models.com/turbines/1124-adwen-ad-8-180;,85,AD-180_8000,IEC Ib,
AD116/5000,True,False,False,True,90;102,82,Adwen/Areva,15,M5000-116,5000000,473,2,10567,116,https://www.wind-turbine-models.com/turbines/23-areva-m5000-116 ; https://www.thewindpower.net/turbine_en_1048_adwen_ad-5-132.php,88,AD-116_5000,,
GE130/3200,True,True,True,True,85;110;134;155,114,GE Wind,,GE 3.2-130,3200000,,,13272,130,https://www.wind-turbine-models.com/turbines/1290-general-electric-ge-3.2-130,123,GE-130_3200,IIIa,2
AD135/5000,,False,False,False,,83,Adwen/Areva,14,M5000-135,5000000,349,3,14312,135,https://www.wind-turbine-models.com/turbines/686-areva-m5000-135,89,AD-135_5000,IEC I (GL-TK 1 & GL-TK S),
GE120/2750,True,True,True,True,85; 98.3; 110; 139,116,GE Wind,,GE 2.75-120,2750000,,,11308,120,https://www.wind-turbine-models.com/turbines/983-general-electric-ge-2.75-120,125,GE-120_2750,,
GE103/2750,True,True,True,True, 75;85;98.3;123.5,117,GE Wind,,GE 2.75-103,2750000,,,8331,103,https://www.wind-turbine-models.com/turbines/747-general-electric-ge-2.75-103,126,GE-103_2750,,
GE120/2500,True,True,True,True,110; 139,119,GE Wind,,GE 2.5-120,2500000,,,11308,120,https://www.wind-turbine-models.com/turbines/310-general-electric-ge-2.5-120,128,GE-120_2500,,
GE100/2500,True,False,False,True,75/85,121,GE Wind,,GE 2.5-100,2500000,,,7853,100,https://www.wind-turbine-models.com/turbines/641-general-electric-ge-2.5-100,130,GE-100_2500,,
ENO126/3500,True,True,True,True,117; 137; 165,124,Eno,,ENO 126 3.5,3500000,,,12467,126,https://www.wind-turbine-models.com/turbines/653-eno-energy-eno-126-3.5,135,ENO-126_3500,,
ENO114/3500,True,True,True,True,"92; 127,5; 142",127,Eno,,ENO 114 3.5,3500000,,,10206,114,https://www.wind-turbine-models.com/turbines/283-eno-energy-eno-114-3.5,138,ENO-114_3500,,
ENO100/2200,True,True,True,True,99,128,Eno,,ENO 100,2200000,,,7853,100,https://www.wind-turbine-models.com/turbines/651-eno-energy-eno-100,139,ENO-100_2200,,
E-126/7580,,False,False,True,127,139,Enercon,,E-126/7580,7580000,,,12668,127,https://www.thewindpower.net/turbine_en_600_enercon_e126-7580.php,151,E-126_7580,,Ia (DIBt WZ III)
E-141/4200,True,True,False,True,99; 129; 135; 159,0,Enercon,11,E-141/4200 EP 4,4200000,269,4,15613,141,https://www.enercon.de/fileadmin/Redakteur/Medien-Portal/broschueren/pdf/ENERCON_Produkt_de_042017.pdf; https://www.wind-turbine-models.com/turbines/,1,E-141_4200,IEC/EN IIA,WZ3 GK I; WZ3 GK I
MM92/2050,False,False,False,True,"68,5;80,0;100,0",97,Senvion/REpower,15,MM92,2050000,305,3,6719,93,http://www.windenergie-im-binnenland.de/powercurve.php,104,MM-92_2050,IEC IIa,
SWT120/6000,,False,False,False,90;,58,Siemens,13,SWT-6.0-120,6000000,319,3,11308,120,https://www.wind-turbine-models.com/turbines/646-siemens-swt-3.6-120-onshore,63,SWT-120_6000,IEC Ia,
SCD168/8000,,False,False,True,,137,aerodyn,,SCD 168 8000,8000000,,,22164,168,https://www.wind-turbine-models.com/turbines/1116-aerodyn-scd-8.0-168,149,SCD168_8000,,
E-126/7500,,False,False,True,125,138,Enercon,,E-126/7500,7500000,2,,12666,127,https://www.thewindpower.net/turbine_en_225_enercon_e126-7500.php,150,E-126_7500,,
AW116/3000,,False,False,False,92; 100; 120,28,Nordex,,,3000000,,,10567,116,,30,AW-116_3000,,
AW100/3000,,False,False,False,100;,29,Nordex,,,3000000,,,7853,100,,31,AW-100_3000,,
AW140/3000,,False,False,False,,25,Nordex,,,3000000,,,15392,140,,27,AW-140_3000,,
AW132/3000,,False,False,False,84; 120,26,Nordex,,,3000000,,,13683,132,,28,AW-132_3000,,
AW125/3000,,False,False,False,"87,5; 100; 120; 137,5",27,Nordex,,,3000000,,,12270,125,,29,AW-125_3000,,
AW82/1500,,False,False,False,80,30,Nordex,17,,1500000,284,4,5280,82,http://www.acciona-windpower.com/products-and-services/aw1500/aw821500/; https://www.wind-turbine-models.com/turbines/585-acciona-aw-82-1500,32,AW-82_1500,IEC lla,
N117/3600,,False,False,False,91; 120; 141,18,Nordex,,,3600000,,,10750,117,,20,N-117_3600,,
N117/3000,,False,False,False,91; 120; 141,19,Nordex,,,3000000,,,10750,117,,21,N-117_3000,,
N131/3600,True,True,True,True,84; 106; 112; 134,15,Nordex,14,,3600000,267,4,13477,131,http://www.nordex-online.com/de/produkte-service/windenergieanlagen/; https://www.wind-turbine-models.com/turbines/1466-nordex-n-131-3600-delta,17,N-131_3600,IEC SA,
N131/3300,,True,True,True,134; 164,16,Nordex,,,3300000,,,13477,131,http://www.windenergie-im-binnenland.de/powercurve.php,18,N-131_3300,,
N131/3000,,True,True,True,99; 114; 134,17,Nordex,,,3000000,,,13477,131,http://www.windenergie-im-binnenland.de/powercurve.php,19,N-131_3000,,
N117/2400,,True,True,True,91; 120; 141,20,Nordex,20,,2400000,224,5,10713,117,https://www.en.wind-turbine-models.com/turbines/96-nordex-n-117-gamma,22,N-117_2400,IEC 3,
N100/2500,,True,True,True,75;85;100,22,Nordex,,,2500000,,,7853,100,,24,N-100_2500,,
N90/2500,,True,True,True,65;70;80,23,Nordex,,,2500000,,,6361,90,http://www.windenergie-im-binnenland.de/powercurve.php,25,N-90_2500,,
AW77/1500,,False,False,False,60; 71.5; 80,31,Nordex,18,,1500000,325,3,4656,77,http://www.acciona-windpower.com/products-and-services/aw1500/aw771500/; https://www.wind-turbine-models.com/turbines/778-acciona-aw-77-1500,33,AW-77_1500,IEC lla +,
N80/2500,,False,False,False,,24,Nordex,,,2500000,,,5026,80,,26,N-80_2500,,
S114/3200,,False,False,True,93; 119; 123; 143,93,Senvion/REpower,12,3.2M114 NES,3200000,,,10206,114,http://www.windenergie-im-binnenland.de/powercurve.php,100,S-114_3200,IEC IIA,4
S152/6330,True,False,False,True,121; 125,84,Senvion/REpower,10,6.3M152,6330000,349,3,18144,152,https://www.senvion.com/global/en/products-services/wind-turbines/6xm/63m152/; https://www.wind-turbine-models.com/turbines/1714-senvion-6.3m152-onshore; https://www.wind-turbine-models.com/turbines/1713-senvion-6.3m152-offshore,91,S-152_6330,,
S126/6150,True,False,False,True,95; 110; 112; 114; 117,86,Senvion/REpower,12,6.2M126,6150000,493,2,12467,126,https://www.senvion.com/global/en/products-services/wind-turbines/6xm/62m126/; https://www.wind-turbine-models.com/turbines/887-senvion-6.2m152-offshore; https://www.wind-turbine-models.com/turbines/884-senvion-6.2m126-onshore,93,S-126_6150,IEC Ib/ IEC S,4
