turbine_type,calculated,has_cp_curve,has_ct_curve,has_power_curve,hub_height,id,index,installed_capacity,manufacturer,max_speed_drive,name,power_density,power_density_2,rotor_area,rotor_diameter,source,turbine_id,wind_class_iec,wind_zone_dibt
S152/6330,True,False,False,True,121; 125,85,84,6330000,Senvion/REpower,10,6.3M152,349,3,18144,152,https://www.senvion.com/global/en/products-services/wind-turbines/6xm/63m152/; https://www.wind-turbine-models.com/turbines/1714-senvion-6.3m152-onshore; https://www.wind-turbine-models.com/turbines/1713-senvion-6.3m152-offshore,91,,
S152/6150,True,False,False,False,85; 95; 121; 124,86,85,6150000,Senvion/REpower,10,6.2M152,339,3,18144,152,https://www.senvion.com/global/en/products-services/wind-turbines/6xm/62m152/; https://www.wind-turbine-models.com/turbines/1713-senvion-6.3m152-offshore; https://www.wind-turbine-models.com/turbines/885-senvion-6.2m126-offshore,92,,
S126/6150,True,False,False,True,95; 110; 112; 114; 117,87,86,6150000,Senvion/REpower,12,6.2M126,493,2,12467,126,https://www.senvion.com/global/en/products-services/wind-turbines/6xm/62m126/; https://www.wind-turbine-models.com/turbines/887-senvion-6.2m152-offshore; https://www.wind-turbine-models.com/turbines/884-senvion-6.2m126-onshore,93,IEC Ib/ IEC S,4
S114/3600,True,False,False,False,90; 116; 119,88,87,3600000,Senvion/REpower,12,3.6M114 NES,353,3,10206,114,https://www.senvion.com/global/en/products-services/wind-turbines/3xm/36m114-nes/; https://www.wind-turbine-models.com/turbines/1715-senvion-3.6m114,94,,
S140/3600,True,False,False,False,110; 130; 160,89,88,3600000,Senvion/REpower,10,3.4M140 EBC,234,4,15392,140,https://www.senvion.com/global/en/products-services/wind-turbines/3xm/36m140-ebc/; https://www.wind-turbine-models.com/turbines/1555-senvion-3.6m140,95,,
S114/3400,True,True,True,True,93; 119; 123; 143,90,89,3400000,Senvion/REpower,12,3.4M114,331,3,10206,114,https://www.wind-turbine-models.com/turbines/1003-senvion-3.4m114,96,,
S104/3400,True,False,False,True,73;80;93;100,91,90,3400000,Senvion/REpower,,3.4M104,,,8494,104,https://www.senvion.com/global/en/products-services/wind-turbines/3xm/34m104/;,97,,
S122/3400,True,False,False,False,139;,92,91,3400000,Senvion/REpower,,3.4M122 NES,,,11688,122,https://www.senvion.com/global/en/products-services/wind-turbines/3xm/34m122-nes/;,98,,
S140/3400,True,False,False,False,93;119;123;143,93,92,3400000,Senvion/REpower,,3.4M140 EBC,,,15392,140,https://www.senvion.com/global/en/products-services/wind-turbines/3xm/34m140-ebc/;,99,,
S114/3200,,False,False,True,93; 119; 123; 143,94,93,3200000,Senvion/REpower,12,3.2M114 NES,,,10206,114,http://www.windenergie-im-binnenland.de/powercurve.php,100,IEC IIA,4
S122/3200,,True,True,True,139;,95,94,3200000,Senvion/REpower,,3.2M122,,,11688,122,http://www.windenergie-im-binnenland.de/powercurve.php,101,,
S122/3000,,True,True,True,136;139,96,95,3000000,Senvion/REpower,,3.0M122,,,11688,122,http://www.windenergie-im-binnenland.de/powercurve.php,102,,
MM100/2000,True,True,True,True,,97,96,2000000,Senvion/REpower,14,MM100,255,4,7853,100,http://www.windenergie-im-binnenland.de/powercurve.php,103,IEC IIb,3
MM92/2050,False,False,False,True,"68,5;80,0;100,0",98,97,2050000,Senvion/REpower,15,MM92,305,3,6719,93,http://www.windenergie-im-binnenland.de/powercurve.php,104,IEC IIa,
MM82/2050,,False,False,False,,99,98,2050000,Senvion/REpower,,MM82,,,5280,82,,105,,
VS136/3500,,False,False,False,,100,99,3500000,Vensys,,VENSYS136 3.5MW,,,14525,136,http://www.vensys.de/energy/produkte-und-service/vensys-3-mw.php,107,,
VS136/3000,,False,False,False,82;100;132,101,100,3000000,Vensys,,VENSYS136 3.0MW,,,14525,136,http://www.vensys.de/energy/produkte-und-service/vensys-3-mw.php,108,,
VS120/3000,,False,False,False,90;140,102,101,3000000,Vensys,,VENSYS120 3.0MW,,,11308,120,http://www.vensys.de/energy/produkte-und-service/vensys-3-mw.php,109,,
VS112/3000,,False,False,False,93.5; 140,103,102,3000000,Vensys,,VENSYS112 3.0MW,,,9851,112,http://www.vensys.de/energy/produkte-und-service/vensys-3-mw.php,110,,
VS112/2500,,False,False,True,93.5;143.5,104,103,2500000,Vensys,,VENSYS112 2.5MW,,,9851,112,,111,,
VS109/2500,,False,False,False,95;145,105,104,2500000,Vensys,,VENSYS109 2.5MW,,,9330,109,,112,Iia,3
VS100/2500,,False,False,False,100;,106,105,2500000,Vensys,,VENSYS100 2.5MW,,,7853,100,,113,,
VS87/1500,,False,False,False,85;100,107,106,1500000,Vensys,,VENSYS87 1.5MW,,,5944,87,,114,,
VS82/1500,,False,False,False,85;,108,107,1500000,Vensys,,VENSYS82 1.5MW,,,5280,82,,115,,
VS77/1500,,False,False,False, 61.5;85;100,109,108,1500000,Vensys,,VENSYS77 1.5MW,,,4656,77,,116,,
VS70/1500,,False,False,False,65;85,110,109,1500000,Vensys,,VENSYS70 1.5MW,,,3848,70,,117,,
GE150/6000,,False,False,False,100; side spec,111,110,6000000,GE Wind,,Haliade 150-6MW,,,17906,151,https://www.gerenewableenergy.com/wind-energy/turbines/offshore-turbine-haliade; https://www.wind-turbine-models.com/turbines/1446-general-electric-haliade-150-6mw,119,Ib,
GE158/4800,,False,False,False,101;120.9;149;169,112,111,4800000,GE Wind,,GE 4.8-158,,,19604,158,https://www.gerenewableenergy.com/wind-energy/turbines/4mw-platform; https://www.wind-turbine-models.com/turbines/1719-general-electric-ge-4.8-158,120,,
GE137/3600,,False,False,False,85;110;131.4;164.5,113,112,3600000,GE Wind,,GE 3.6-137,,,14739,137,https://www.wind-turbine-models.com/turbines/1551-general-electric-ge-3.6-137,121,IIIb,
GE137/3400,True,False,False,False,85;110;131;134;155,114,113,3400000,GE Wind,,GE 3.4-137,,,14739,137,https://www.wind-turbine-models.com/turbines/1339-general-electric-ge-3.4-137,122,,
ENO126/4800,,False,False,False,,123,122,4800000,Eno,,ENO 126 4.8,,,12467,126,https://www.wind-turbine-models.com/turbines/1741-eno-energy-eno-126-4.8,133,,
ENO126/4000,,False,False,False,,124,123,4000000,Eno,,ENO 126 4.0,,,12467,126,https://www.wind-turbine-models.com/turbines/1484-eno-energy-eno-126-4.0,134,,
GE130/3200,True,True,True,True,85;110;134;155,115,114,3200000,GE Wind,,GE 3.2-130,,,13272,130,https://www.wind-turbine-models.com/turbines/1290-general-electric-ge-3.2-130,123,IIIa,2
GE103/2850,,False,False,False,75;85;98.3,116,115,3850000,GE Wind,,GE 2.85-103,,,8331,103,https://www.wind-turbine-models.com/turbines/750-general-electric-ge-2.85-103,124,,
GE120/2750,True,True,True,True,85; 98.3; 110; 139,117,116,2750000,GE Wind,,GE 2.75-120,,,11308,120,https://www.wind-turbine-models.com/turbines/983-general-electric-ge-2.75-120,125,,
GE103/2750,True,True,True,True, 75;85;98.3;123.5,118,117,2750000,GE Wind,,GE 2.75-103,,,8331,103,https://www.wind-turbine-models.com/turbines/747-general-electric-ge-2.75-103,126,,
GE100/2750,,False,False,False, 75;85;98.3;123.5,119,118,2750000,GE Wind,,GE 2.75-100,,,7853,100,https://www.wind-turbine-models.com/turbines/748-general-electric-ge-2.75-100,127,,
