,rli_anlagen_id,p_nenn,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26,source,modificationtimestamp
25,NORDEX N 60 1300,1300.0,0.0,,0.0,,0.0,,0.0,,0.262,,0.337,,0.35,,0.406,,0.424,,0.425,,0.407,,0.378,,0.34,,0.295,,0.262,,0.223,,0.189,,0.16,,0.131,,0.111,,0.095,,0.082,,0.071,,0.062,,0.054,,0.048,0.0,,EMD Windpro,2013-11-21 11:51:08
26,FRISIA F 48,750.0,0.0,,0.0,,0.0,,0.0,,0.183,,0.328,,0.377,,0.395,,0.407,,0.416,,0.41,,0.397,,0.372,,0.308,,0.247,,0.2,,0.165,,0.138,,0.116,,0.099,,0.085,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,EMD Windpro,2013-11-21 11:51:07
27,NORDEX N 90 2500 HS,2500.0,0.0,,0.0,,0.0,,0.01,0.174,0.305,0.383,0.425,0.45,0.463,0.471,0.475,0.479,0.48,0.479,0.476,0.47,0.462,0.451,0.43,0.4,0.364,0.328,0.292,0.261,0.234,0.21,0.19,0.172,0.157,0.143,0.131,0.12,0.11,0.101,0.094,0.087,0.08,0.074,0.069,0.065,0.06,0.056,0.053,0.049,0.046,0.044,0.041,0.0,,EMD Windpro,2013-11-21 11:51:08
28,NORDEX N 90 2500 LS,2500.0,0.0,,0.0,,0.0,,0.01,0.221,0.337,0.4,0.435,0.454,0.465,0.471,0.475,0.478,0.477,0.473,0.465,0.455,0.442,0.427,0.409,0.385,0.355,0.323,0.291,0.261,0.234,0.21,0.19,0.172,0.157,0.143,0.131,0.12,0.11,0.101,0.094,0.087,0.08,0.074,0.069,0.065,0.06,0.056,0.053,0.049,0.046,0.044,0.041,0.037,0.0,EMD Windpro,2013-11-21 11:51:08
29,NORDEX N 100 2500,2500.0,0.0,,0.0,,0.0,,0.023,0.224,0.329,0.392,0.427,0.447,0.456,0.462,0.465,0.468,0.468,0.466,0.462,0.457,0.44,0.411,0.376,0.339,0.302,0.267,0.237,0.212,0.19,0.171,0.155,0.14,0.127,0.116,0.106,0.097,0.089,0.082,0.076,0.07,0.065,0.061,0.056,0.053,0.049,0.046,0.043,0.04,0.038,0.035,0.033,0.0,,EMD Windpro,2013-11-21 11:51:08
30,NORDEX N 100 3300,3300.0,0.0,,0.0,,0.0,,0.0,0.063,0.225,0.311,0.366,0.398,0.419,0.432,0.441,0.447,0.451,0.453,0.453,0.451,0.446,0.438,0.423,0.399,0.37,0.34,0.309,0.279,0.251,0.226,0.204,0.185,0.168,0.153,0.14,0.129,0.118,0.109,0.1,0.093,0.086,0.08,0.074,0.069,0.065,0.06,0.057,0.053,0.05,0.047,0.044,0.0,,EMD Windpro,2013-11-21 11:51:08
31,NORDTANK NTK 600,600.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.136,,0.317,,0.393,,0.422,,0.423,,0.392,,0.366,,0.334,,0.293,,0.244,,0.199,,0.162,,0.131,,0.108,,0.092,,0.08,,0.07,,0.062,,0.054,,0.048,0.0,0,,,EMD Windpro,2013-11-21 11:51:08
32,NORDEX N 117 3000,3000.0,0.0,,0.0,,0.0,,0.09,0.199,0.307,0.37,0.406,0.428,0.44,0.448,0.453,0.456,0.457,0.453,0.445,0.43,0.403,0.369,0.334,0.298,0.265,0.234,0.208,0.186,0.167,0.15,0.135,0.123,0.112,0.102,0.093,0.085,0.078,0.072,0.067,0.062,0.057,0.053,0.049,0.046,0.043,0.04,0.038,0.035,0.033,0.031,0.029,0.0,,EMD Windpro,2013-11-21 11:51:08
33,NORDTANK NTK 500,500.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.214,,0.35,,0.408,,0.428,,0.428,,0.416,,0.396,,0.366,,0.328,,0.286,,0.244,,0.204,,0.167,,0.135,,0.11,,0.091,,0.078,,0.068,,0.06,,0.054,,0.049,0.0,,EMD Windpro,2013-11-21 11:51:08
34,REPOWER MM 82 2050,2050.0,0.0,,0.0,,0.0,,0.0,,0.309,,0.393,,0.449,,0.461,,0.463,,0.465,,0.445,,0.395,,0.342,,0.281,,0.23,,0.188,,0.155,,0.129,,0.109,,0.092,,0.079,,0.068,,0.06,,0.052,,0.046,,0.041,0.0,,EMD Windpro,2013-11-21 11:51:08
35,REPOWER 3.0 M122,3000.0,0.0,,0.0,,0.0,,0.186,,0.358,,0.415,,0.442,,0.46,,0.453,,0.43,,0.387,,0.312,,0.275,,0.242,,0.191,,0.153,,0.124,,0.102,,0.085,,0.072,,0.061,,0.052,,0.045,,0.039,0.0,0,,0,,,EMD Windpro,2013-11-21 11:51:09
36,REPOWER 3.4 M104,3400.0,0.0,,0.0,,0.0,,0.0,0.166,0.282,,0.389,,0.426,,0.443,,0.458,,0.46,,0.444,,0.413,,0.366,,0.295,,0.238,,0.194,,0.16,,0.133,,0.112,,0.095,,0.082,,0.071,,0.061,,0.054,,0.047,,0.042,0.0,,EMD Windpro,2013-11-21 11:51:09
37,REPOWER 5M,5000.0,0.0,,0.0,,0.0,,0.0,0.162,0.258,,0.369,,0.393,,0.413,,0.419,,0.419,,0.415,,0.395,,0.36,,0.298,,0.239,,0.194,,0.16,,0.133,,0.112,,0.095,,0.082,,0.071,,0.061,,0.054,,0.047,,0.042,,0.041,EMD Windpro,2013-11-21 11:51:09
38,SIEMENS SWT 2.3 93,2300.0,0.0,,0.0,,0.0,,0.0,,0.371,,0.411,,0.432,,0.442,,0.446,,0.449,,0.445,,0.405,,0.322,,0.254,,0.203,,0.165,,0.136,,0.113,,0.096,,0.081,,0.07,,0.06,,0.052,,0.046,,0.04,,0.036,0.0,,EMD Windpro,2013-11-21 11:51:09
39,SIEMENS SWT 3.6 120,3600.0,0.0,,0.0,,0.0,,0.0,,0.363,,0.405,,0.424,,0.432,,0.435,,0.436,,0.42,,0.369,,0.298,,0.236,,0.189,,0.154,,0.127,,0.106,,0.089,,0.076,,0.065,,0.056,,0.049,,0.043,,0.038,,0.033,0.0,,EMD Windpro,2013-11-21 11:51:09
40,TACKE TW 600,600.0,0.0,,0.0,,0.0,,0.108,,0.351,,0.42,,0.41,,0.432,,0.431,,0.413,,0.385,,0.351,,0.311,,0.271,,0.235,,0.203,,0.172,,0.144,,0.121,,0.103,,0.088,,0.075,,0.067,,0.055,,0.049,,0.043,0.0,,EMD Windpro,2013-11-21 11:51:09
